BAGIAN B: DATA SARANA PRASARANA (Sapras),,,,,,,,
Konsentrasi Keahlian,,: Nautika Kapal Penangkap Ikan,,,,,,
1. RUANG PRAKTIK UTAMA ,,,,,,,,
No,Jenis Ruang,Standar Luas Minimal,Kapasitas,Luas Tersedia (m²),Ada,Tidak,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
4,Mistar Jajar,"Logam, 600 mm",9 alat,,,,,
5,Mistar Segitiga Pelayaran,-,9 alat,,,,,
6,Jangka Semat,-,3 alat,,,,,
7,Globe Bumi,"Diameter 25–40 inci, fiber",3 alat,,,,,
5. PERALATAN NAVIGASI DAN KECAKAPAN BAHARI ,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jml Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,Marine Autopilot,"Lengkap dengan unit kontrol, GPS, dan antarmuka Gyro.",1 set,,,,,
2,Marine Radar with AIS,"X-band, 4KW, minimal 9.7"" LCD, AIS terintegrasi.",1 unit,,,,,
3,Marine Radar with ARPA,Dengan kemampuan target tracking otomatis.,1 unit,,,,,
4,Electronic Compass with GPS,"NMEA0183, rentang tegangan 10.5–40VDC.",1 unit,,,,,
5,Echo Sounder,"Dual frequency 50/200kHz, daya 600W.",1 unit,,,,,
6,Fish Finder,-,1 unit,,,,,
7,Projection Magnetic Compass,-,2 unit,,,,,
8,Gyro Compass,-,1 unit,,,,,
9,Navtex Receiver,Frekuensi 518 kHz.,1 unit,,,,,
10,Marine Nautical (Sextant),-,1 unit,,,,,
11,Binoculars,7x50,18 unit,,,,,
6. PERALATAN KOMUNIKASI DAN MERSAR ,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jml Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,CB Transceiver,"12W SSB, lengkap dengan antena.",1 unit,,,,,
2,Radio Direction Finder,-,1 unit,,,,,
3,VHF Transceiver,"25W, NMEA 0183, fitur DSC.",1 unit,,,,,
4,MF/HF Marine Radio,Frekuensi 1.6–30 MHz.,1 unit,,,,,
5,SART (Search and Rescue Transponder),"Frekuensi 9.2–9.5 GHz, tipe floating.",1 unit,,,,,
6,EPIRB (Emergency Position Indicating Radio Beacon),-,1 unit,,,,,
7,Weather Station,"Untuk mengukur kecepatan angin, suhu, kelembaban.",1 unit,,,,,
8,Handy Talky (HT),-,3 unit,,,,,
9,Isyarat Bendera/Isyarat Visual,Satu set bendera kode isyarat internasional.,1 set,,,,,
7. PERALATAN TANGKAP DAN TALI-TEMALI ,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jml Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,Alat Tangkap Ikan (lengkap),"Mewakili berbagai jenis alat tangkap (jaring lingkar, jaring insang, pancing, perangkap, dll.).",13 set,,,,,
8. PERALATAN INSTRUKTUR DAN PENYIMPANAN,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jml Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,Meja Kerja Instruktur,"900 x 450 mm, MFC.",3 unit,,,,,
2,Lemari Simpan,"Minimal 5 rak, bahan metal coating.",2 unit,,,,,
3,Refraktometer,Untuk mengukur salinitas/kadar gula.,2 unit,,,,,
4,Timbangan Digital,Ketelitian 0.1 gram.,2 unit,,,,,
5,Lux Meter,-,2 unit,,,,,
6,Portable pH/ORP/Conductivity/DO Meter,Multi-parameter uji kualitas air.,2 unit,,,,,
7,Water Hardness Tester,-,2 unit,,,,,
8,Water Color Meter,-,2 unit,,,,,
9,BOD Meter,-,2 unit,,,,,
9. KELENGKAPAN SMART CLASSROOM,,,,,,,,
No,Nama Peralatan,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,,
1,Smart Board / Whiteboard Interaktif,1 unit,,,,,,
2,Smart TV Videoconference,1 unit,,,,,,
3,HD Pro Cam / Live Casting,1 unit,,,,,,
4,Smart Table Interaktif,1 unit,,,,,,
5,Smart Controlroom Console,1 unit,,,,,,
6,Smart Document Camera,1 unit,,,,,,
7,"Platform Pendukung (Student Response System, dll.)",1 paket,,,,,,
10. KELENGKAPAN KESELAMATAN DAN KESEHATAN KERJA (K3),,,,,,,,
No,Komponen,Standar Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,APAR (Alat Pemadam Api Ringan),"Tersedia, terisi, dan berkala uji",4 unit,,,,,
2,Hydrant Box dan Alarm,"Berfungsi, mudah diakses",1 set,,,,,
3,Smoke Detector,"Terpasang di area rawan, berfungsi",4 unit,,,,,
4,Sprinkler,Terpasang sesuai ketentuan,1 set,,,,,
5,P3K Kit,Isi lengkap dan tidak kadaluarsa,2 unit,,,,,
6,"APD (masker, sarung tangan, safety shoes, dll.)",Tersedia dan sesuai standar,18 set,,,,,
7,Jalur Evakuasi dan Titik Kumpul,Ada rambu yang jelas dan mudah dilihat,1 set,,,,,
8,Rambu K3 dan Poster Keselamatan,Terpasang di area strategis,10 buah,,,,,
9,Fasilitas Cuci Tangan (CTPS),Dengan air mengalir dan sabun,2 unit,,,,,
10,Prosedur Kesehatan (Covid-19),Poster protokol kesehatan terpasang,5 buah,,,,,
11. KELENGKAPAN UTILITAS DAN BANGUNAN,,,,,,,,
No,Komponen,Standar Minimal,Sesuai Standar Minimal,Tidak Sesuai Standar Minimal,Keterangan,Tidak Ada,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,Jaringan Internet,Tersedia dan dapat diakses,,,,,,
2,Pencahayaan Alami dan Buatan ,Minimal 250 lux (SNI 03-6197-2000),,,,,,
3,Ventilasi Udara ,Sirkulasi udara baik (SNI 03-6572-2001),,,,,,
4,Toilet Terpisah Pria/Wanita,Minimal 1 pria + 1 wanita,,,,,,
5,Sumber Air Bersih,Tersedia dan mengalir lancar,,,,,,
6,Instalasi Listrik yang Aman ,Sesuai PUIL 2011 (SNI 0225:2011),,,,,,
7,Stop Kontak 1 Phase,Jarak masing-masing 3 m,,,,,,
8,Sistem Penangkal Petir,"SNI 03-7015-2004, grounding ≤5 Ohm",,,,,,
12. PENERAPAN BUDAYA KERJA INDUSTRI ,,,,,,,,
No,Komponen,"Ada, Efektif","Ada, Tidak Efektif",Tidak Ada,Keterangan,,,
1,"Penerapan 5R 5R (Ringkas, Rapi, Resik, Rawat, Rajin) ",,,,,,,
2,Poster/Infografis 5S/5R terpasang,,,,,,,
3,Penerapan Budaya Safety/K3 (C.A.N.T.I.K./T.A.M.P.A.N.),,,,,,,
4,Poster/Infografis K3 terpasang,,,,,,,
5,SOP Penggunaan Peralatan tersedia,,,,,,,
6,Jadwal Pemeliharaan Peralatan tersedia,,,,,,,
7,Buku Log Penggunaan Ruang Praktik,,,,,,,
8,Prosedur Masuk Ruang (Protokol Kesehatan) terpasang,,,,,,,
