BAGIAN B: DATA SARANA PRASARANA (Sapras),,,,,,,,
Konsentrasi Keahlian,,:  Agribisnis Perikanan Air Payau dan Laut,,,,,,
,,,,,,,,
1. RUANG PRAKTIK UTAMA,,,,,,,,
No,Jenis Ruang,Standar Luas Minimal,Kapasitas,Luas Tersedia (m²),Ada,Tidak,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
25,Water Sample Kit,Untuk pengambilan sampel air dan plankton,1 unit,,,,,
26,Phospate Water Test Kit,Mengukur kadar fosfat dalam air,1 unit,,,,,
27,Kursi Kerja,"L480 x W420 x H850 mm, seat foam laminated",18 unit,,,,,
28,Meja Kerja,"L1400 x W700 x H730 mm, sheet metal, MDF 25 mm",19 unit,,,,,
3. PERALATAN LABORATORIUM PAKAN BUATAN,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,Timbangan Digital,"Kapasitas 1000 g, ketelitian 0,1 g",2 unit,,,,,
2,Mesin Penepung Disk Mill,"Penggerak motor diesel 5,5 HP, kecepatan 9000 rpm, kapasitas 55 kg/jam",1 unit,,,,,
3,Oven,"Range suhu room temp - 300°C, kapasitas min 140 L",1 unit,,,,,
4,Mesin Cetak Pelet Apung,"Kapasitas 30-40 kg, motor diesel",1 unit,,,,,
5,Mesin Mixer,"Kapasitas 100 kg, penggerak 5,5 HP",1 unit,,,,,
6,Pellet Mills,Untuk uji kualitas pelet,1 unit,,,,,
"4. PERALATAN PRODUKSI BUDIDAYA (PERAWATAN INDUK, PEMIJAHAN, PENANGANAN TELUR, PERAWATAN LARVA, PENDEDERAN DAN PEMBUATAN PAKAN ALAMI)",,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,Bak Fiberglass,Untuk kultur pakan alami,1 unit,,,,,
2,Corong Tetas,Untuk menetaskan artemia,2 unit,,,,,
3,Timbangan Digital,"Kapasitas 1000 g, ketelitian 0,1 g",1 unit,,,,,
4,Aquarium Penetasan,"Ukuran min. P 200 cm, L 100 cm, T 100 cm, tebal kaca 12 mm",2 unit,,,,,
5,Water Pump,"Daya min 100 watt, kapasitas 1100 liter/jam",1 unit,,,,,
6,Bak Fiberglass Resegi,"Untuk wadah pemeliharaan induk, ukuran P 230 cm, L 120 cm, T 100 cm",1 unit,,,,,
7,Aquarium,"Untuk penetasan telur, P 100 cm, L 50 cm, T 40 cm, tebal kaca 15 mm",2 unit,,,,,
8,Pompa Udara/Blower/Aerator,"Power min 100 watt, outlet min 33 cabang",1 unit,,,,,
9,Pond Blower Filter + Pompa Air,"Kapasitas 8000 liter, volume filter 100 liter",1 unit,,,,,
10,Keramba Jaring Apung,Untuk budidaya di perairan,1 unit,,,,,
11,Paddle Wheel,"Untuk meningkatkan oksigen di tambak, min 1 HP",1 unit,,,,,
12,Bak Fiberglass Bulat,"Untuk pemeliharaan larva, diameter min 1 m",1 unit,,,,,
13,Bak Fiberglass Persegi,"Untuk pendederan, P 2 m, L 1 m, T 0,5 m",1 unit,,,,,
14,Generator Genset,Minimal 5000 watt,1 unit,,,,,
15,Fish Counter,Penghitung ikan digital,1 unit,,,,,
16,Fish Cool Box,Kotak pendingin ikan,3 unit,,,,,
17,Kotak Pendingin,Kapasitas min 30 liter,3 unit,,,,,
18,Tangguk Ikan,Untuk menangkap ikan,3 unit,,,,,
19,Alat Pengukur Panjang Ikan,"Bahan HDPE, skala 1 mm, panjang 60-75 cm",9 unit,,,,,
20,Freezer,"Kapasitas 4 rak, volume 121 liter",1 unit,,,,,
21,Heater Aquarium,Dilengkapi termostat,1 unit,,,,,
22,Autofeeder,Pemberi pakan otomatis,1 unit,,,,,
23,Container Budidaya Kepiting,Crab house,1 unit,,,,,
24,Floating Pump,"Power 1800 watt, 3 phase, flow 5 l/min",1 unit,,,,,
25,Thermometer,"Digital, rentang -10°C s.d. 50°C",3 unit,,,,,
26,Seser/Serokan,Untuk menangkap ikan kecil,3 unit,,,,,
27,Serokan Induk,Untuk menangkap induk ikan,3 unit,,,,,
28,Corong Tetas Artemia,"Bahan fiber, diameter 40 cm, tinggi 50 cm",3 unit,,,,,
29,Plankton Net,"Diameter bukaan 30 cm, tinggi 100 cm, mesh size 200",3 unit,,,,,
30,Tabung Oksigen,"Volume 1 m³, tinggi 65 cm",2 unit,,,,,
31,Secchi Disc,"Untuk mengukur kecerahan air, diameter 20 cm",3 unit,,,,,
32,Depth Sounder,Handheld digital,1 unit,,,,,
5. PERALATAN BANGSAL KOLAM INDUK JANTAN DAN BETINA,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,Bak Fiberglass Resegi,Untuk wadah pemeliharaan induk,2 unit,,,,,
2,Aerator/Blower,Untuk suplai oksigen,2 unit,,,,,
3,Seser/Serokan,Untuk menangkap induk,4 unit,,,,,
4,Timbangan Digital,Untuk menimbang induk,1 unit,,,,,
"6. PERALATAN KOLAM PENDEDERAN, PEMBESARAN, AKUARIUM, FIBER DAN KOLAM PRODUKSI",,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,Mesin Penepung Disk Mill,"Penggerak motor diesel 5,5 HP, kecepatan 9000 rpm",1 unit,,,,,
2,Oven,"Range suhu room temp - 300°C, kapasitas min 140 L",1 unit,,,,,
3,Mesin Cetak Pelet Apung,Kapasitas 30-40 kg,1 unit,,,,,
4,Water Pump,Mesin pemompa air,1 unit,,,,,
5,Bak Fiberglass,Wadah pembesaran,1 unit,,,,,
6,Aquarium,Wadah pemeliharaan,1 unit,,,,,
7,Pond Blower Filter + Pompa Air,Kapasitas 8000 liter,1 unit,,,,,
8,Tabung Oksigen,Untuk packing,1 unit,,,,,
9,Tabung CO₂,Untuk aquascape,1 unit,,,,,
10,Chiller,"Untuk menurunkan suhu air, min 1/10 HP",1 unit,,,,,
11,Aquarium Dekorasi,"Kaca, panjang 1,5 m, tinggi 1,5 m, tebal 12 mm",1 unit,,,,,
7. PERABOT DAN PERALATAN RUANG INSTRUKTUR DAN PENYIMPANAN,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,Kursi Kerja,"L480 x W420 x H850 mm, ergonomis",9 unit,,,,,
2,Meja Kerja,Ukuran memadai untuk bekerja,9 unit,,,,,
3,Lemari Simpan,"Knock down system, 900 x 400 x 1850 mm, sheet metal 0,7 mm",2 unit,,,,,
4,Komputer/PC All In One,"Processor 3.0 GHz, RAM 8 GB, HDD 1 TB, layar 19""",9 unit,,,,,
5,Printer,"Printer, scan, copy",3 unit,,,,,
6,Filing Cabinet,6 laci,1 unit,,,,,
7,Shelving,Rak buku 5 susun,1 unit,,,,,
8,Pesawat Telepon,Untuk komunikasi,1 unit,,,,,
8. KELENGKAPAN SMART CLASSROOM,,,,,,,,
No,Nama Peralatan,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,,
1,Smart Board / Whiteboard Interaktif,1 unit,,,,,,
2,Smart TV Videoconference,1 unit,,,,,,
3,HD Pro Cam / Live Casting,1 unit,,,,,,
4,Smart Table Interaktif,1 unit,,,,,,
5,Smart Controlroom Console,1 unit,,,,,,
6,Smart Document Camera,1 unit,,,,,,
7,"Platform Pendukung (Student Response System, digital learning content, mobile learning)",1 paket,,,,,,
9. KELENGKAPAN KESELAMATAN DAN KESEHATAN KERJA (K3),,,,,,,,
No,Komponen,Standar Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,APAR (Alat Pemadam Api Ringan),"Tersedia, terisi, dan berkala uji",4 unit,,,,,
2,Hydrant Box dan Alarm,"Berfungsi, mudah diakses",1 set,,,,,
3,Smoke Detector,"Terpasang di area rawan, berfungsi",4 unit,,,,,
4,Sprinkler,Terpasang sesuai ketentuan,1 set,,,,,
5,P3K Kit,Isi lengkap dan tidak kadaluarsa,2 unit,,,,,
6,"APD (masker, sarung tangan, safety shoes, jas laboratorium)",Tersedia dan sesuai standar,18 set,,,,,
7,Jalur Evakuasi dan Titik Kumpul,Ada rambu yang jelas dan mudah dilihat,1 set,,,,,
8,Rambu K3 dan Poster Keselamatan,Terpasang di area strategis,10 buah,,,,,
9,Fasilitas Cuci Tangan (CTPS),Dengan air mengalir dan sabun,2 unit,,,,,
10,Prosedur Kesehatan (Covid-19),Poster protokol kesehatan terpasang,5 buah,,,,,
10. KELENGKAPAN UTILITAS DAN BANGUNAN,,,,,,,,
No,Komponen,Standar Minimal,Sesuai Standar Minimal,Tidak Sesuai Standar Minimal,Keterangan,Tidak Ada,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,Jaringan Internet,Tersedia dan dapat diakses,,,,,,
2,Pencahayaan Alami dan Buatan ,Minimal 250 lux (SNI 03-6197-2000),,,,,,
3,Ventilasi Udara ,Sirkulasi udara baik (SNI 03-6572-2001),,,,,,
4,Toilet Terpisah Pria/Wanita,Minimal 1 pria + 1 wanita,,,,,,
5,Sumber Air Bersih,Tersedia dan mengalir lancar,,,,,,
6,Instalasi Listrik yang Aman ,Sesuai PUIL 2011 (SNI 0225:2011),,,,,,
7,Stop Kontak 1 Phase,Jarak masing-masing 3 m,,,,,,
8,Sistem Penangkal Petir,"SNI 03-7015-2004, grounding ≤5 Ohm",,,,,,
11. PENERAPAN BUDAYA KERJA INDUSTRI,,,,,,,,
No,Komponen,"Ada, Efektif","Ada, Tidak Efektif",Tidak Ada,Keterangan,,,
1,"Penerapan 5R (Ringkas, Rapi, Resik, Rawat, Rajin)",,,,,,,
2,Poster/Infografis 5S/5R terpasang,,,,,,,
3,Penerapan Budaya Safety/K3 (C.A.N.T.I.K./T.A.M.P.A.N.),,,,,,,
4,Poster/Infografis K3 terpasang,,,,,,,
5,SOP Penggunaan Peralatan tersedia,,,,,,,
6,Jadwal Pemeliharaan Peralatan tersedia,,,,,,,
7,Buku Log Penggunaan Ruang Praktik,,,,,,,
8,Prosedur Masuk Ruang (Protokol Kesehatan) terpasang,,,,,,,
