BAGIAN B: DATA SARANA PRASARANA (Sapras),,,,,,,,
Konsentrasi Keahlian,,":  Sistem Informatika, Jaringan dan Aplikasi",,,,,,
1. RUANG PRAKTIK UTAMA,,,,,,,,
No,Jenis Ruang,Standar Luas Minimal,Kapasitas,Luas Tersedia (m²),Ada,Tidak,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
4,Tang Crimping,Untuk pemasangan konektor RJ45,9 unit,,,,,
5,Fiber Optic Cable,Kabel fiber optik,18 unit,,,,,
6,Cleaver dan Stripper,Untuk mengupas kabel optik,4 unit,,,,,
7,Optical Fusion Splicer,Untuk penyambungan kabel fiber optik,4 unit,,,,,
8,Optical Power Meter (OPM),Untuk mengukur kekuatan sinyal optik,4 unit,,,,,
9,Optical Time Domain Reflectometer (OTDR),Untuk mengukur parameter sinyal optik,4 unit,,,,,
5. PERALATAN SUB RUANG PRAKTIK PENGEMBANGAN APLIKASI,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,PC Server,"Untuk pengembangan aplikasi, Processor min 3.0 GHz, RAM 8 GB, HDD 1 TB",4 unit,,,,,
2,Komputer Client,"Resolusi min 1920 x 1080, USB Mouse, USB Keyboard",4 unit,,,,,
3,Kit Mikrokontroler,"Untuk praktik aplikasi berbasis mikrokontroler dan internet of things, berbasis mikrokontroler min 16 pin, modul 7 segment, modul dot matrik, modul keypad, modul LCD, modul traffic light, modul serial komunikasi",4 unit,,,,,
4,Laptop,"Untuk praktik database, pembuatan aplikasi IOT, pemrograman mikrokontroler, Processor up to 4.0 GHz",9 unit,,,,,
6. KELENGKAPAN SMART CLASSROOM,,,,,,,,
No,Nama Peralatan,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,,
1,Smart Board / Whiteboard Interaktif,1 unit,,,,,,
2,Smart TV Videoconference,1 unit,,,,,,
3,HD Pro Cam / Live Casting,1 unit,,,,,,
4,Smart Table Interaktif,1 unit,,,,,,
5,Smart Controlroom Console,1 unit,,,,,,
6,Smart Document Camera,1 unit,,,,,,
7,"Platform Pendukung (Student Response System, digital learning content, mobile learning)",1 paket,,,,,,
7. KELENGKAPAN KESELAMATAN DAN KESEHATAN KERJA (K3),,,,,,,,
No,Komponen,Standar Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,APAR (Alat Pemadam Api Ringan),"Tersedia, terisi, dan berkala uji",4 unit,,,,,
2,Hydrant Box dan Alarm,"Berfungsi, mudah diakses",1 set,,,,,
3,Smoke Detector,"Terpasang di area rawan, berfungsi",4 unit,,,,,
4,Sprinkler,Terpasang sesuai ketentuan,1 set,,,,,
5,P3K Kit,Isi lengkap dan tidak kadaluarsa,2 unit,,,,,
6,"APD (masker, sarung tangan, safety shoes)",Tersedia dan sesuai standar,18 set,,,,,
7,Jalur Evakuasi dan Titik Kumpul,Ada rambu yang jelas dan mudah dilihat,1 set,,,,,
8,Rambu K3 dan Poster Keselamatan,Terpasang di area strategis,10 buah,,,,,
9,Fasilitas Cuci Tangan (CTPS),Dengan air mengalir dan sabun,2 unit,,,,,
10,Prosedur Kesehatan (Covid-19),Poster protokol kesehatan terpasang,5 buah,,,,,
8. KELENGKAPAN UTILITAS DAN BANGUNAN,,,,,,,,
No,Komponen,Standar Minimal,Sesuai Standar Minimal,Tidak Sesuai Standar Minimal,Keterangan,Tidak Ada,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,Jaringan Internet,Tersedia dan dapat diakses,,,,,,
2,Pencahayaan Alami dan Buatan ,Minimal 250 lux (SNI 03-6197-2000),,,,,,
3,Ventilasi Udara ,Sirkulasi udara baik (SNI 03-6572-2001),,,,,,
4,Toilet Terpisah Pria/Wanita,Minimal 1 pria + 1 wanita,,,,,,
5,Sumber Air Bersih,Tersedia dan mengalir lancar,,,,,,
6,Instalasi Listrik yang Aman ,Sesuai PUIL 2011 (SNI 0225:2011),,,,,,
7,Stop Kontak 1 Phase,Jarak masing-masing 3 m,,,,,,
8,Sistem Penangkal Petir,"SNI 03-7015-2004, grounding ≤5 Ohm",,,,,,
9. PENERAPAN BUDAYA KERJA INDUSTRI,,,,,,,,
No,Komponen,"Ada, Efektif","Ada, Tidak Efektif",Tidak Ada,Keterangan,,,
1,"Penerapan 5R (Ringkas, Rapi, Resik, Rawat, Rajin)",,,,,,,
2,Poster/Infografis 5S/5R terpasang,,,,,,,
3,Penerapan Budaya Safety/K3 (C.A.N.T.I.K./T.A.M.P.A.N.),,,,,,,
4,Poster/Infografis K3 terpasang,,,,,,,
5,SOP Penggunaan Peralatan tersedia,,,,,,,
6,Jadwal Pemeliharaan Peralatan tersedia,,,,,,,
7,Buku Log Penggunaan Ruang Praktik,,,,,,,
8,Prosedur Masuk Ruang (Protokol Kesehatan) terpasang,,,,,,,
